,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
483,Shubarshi,KZ,43.06,48.59,57.19,85,36,13
484,Sokyryany,UA,38.65,48.45,27.42,81,0,4.83
485,Katsuura,JP,75.51,33.93,134.5,94,40,5.82
486,Valparaiso,US,65.37,41.47,-87.06,88,90,5.82
487,Concarneau,FR,55.4,47.88,-3.92,93,8,1.12
488,Nalut,LY,59.89,31.86,10.98,67,0,4.38
489,Lasa,CY,72.77,34.92,32.53,60,20,3.36
491,Devarkonda,IN,75.91,16.69,78.91,82,80,2.93
493,Tuatapere,NZ,46.39,-46.13,167.69,100,8,4.83
494,Tutoia,BR,80.6,-2.76,-42.27,65,40,17.22
495,Eyl,SO,75.64,7.98,49.82,96,8,13.11
496,Watsa,CD,66.37,3.04,29.53,96,64,3.38
498,Laje,BR,74.11,-13.18,-39.42,69,24,10.76
499,Carupano,VE,82.66,10.67,-63.26,84,24,11.77
500,Zhangye,CN,25.96,38.94,100.46,76,0,2.59
501,Polson,US,45.58,47.69,-114.16,54,76,2.71
502,Nenjiang,CN,50.62,49.17,125.23,50,92,5.17
503,Charters Towers,AU,62.59,-20.07,146.27,91,0,3.04
504,El Cobre,CU,78.8,20.05,-75.95,69,75,8.05
505,Alice Springs,AU,64.4,-23.7,133.88,31,75,8.05
506,Havelock,US,87.13,34.88,-76.9,65,40,4.7
510,Hervey Bay,AU,68.71,-25.3,152.85,100,56,2.59
511,Kalmunai,LK,75.37,7.42,81.82,100,92,3.38
512,Kazanskaya,RU,37.21,45.41,40.44,75,0,3.49
513,Talnakh,RU,42.88,69.49,88.39,87,92,22.62
514,Apastovo,RU,41,55.2,48.51,75,75,8.95
515,Waipawa,NZ,51.7,-39.94,176.59,90,92,5.17
516,Aitape,PG,77.35,-3.15,142.36,100,80,4.27
517,Turayf,SA,69.8,31.68,38.65,35,0,6.93
518,Florence,US,87.98,34.8,-87.68,51,1,4.27
519,Severodvinsk,RU,35.6,64.56,39.82,93,90,8.95
520,Tazmalt,DZ,64.4,36.39,4.4,93,40,5.82
521,Eenhana,NA,79.33,-17.48,16.34,15,80,9.42
523,Magistralnyy,RU,29.2,56.17,107.45,65,0,5.73
524,Kalaleh,IR,61.42,37.38,55.49,97,88,3.6
525,Alto Parana,BR,80.6,-23.13,-52.32,57,20,6.93
526,Haverfordwest,GB,53.6,51.8,-4.97,87,92,10.29
527,Marsh Harbour,BS,82.57,26.54,-77.06,100,0,11.65
529,Bandarbeyla,SO,76,9.49,50.81,95,0,11.99
530,Guiratinga,BR,84.28,-16.35,-53.76,63,44,3.83
531,Vikesa,NO,48.2,58.64,6.09,70,40,8.05
532,Buchanan,LR,78.8,5.88,-10.05,94,75,6.62
534,Rawson,AR,76.36,-43.3,-65.11,23,0,11.1
535,Chama,ZM,69.61,-11.22,33.16,66,0,11.99
536,Fortuna,ES,67.1,38.18,-1.13,77,0,2.24
537,Baracoa,CU,77.62,20.35,-74.5,100,92,8.19
538,Suntar,RU,25.51,62.16,117.65,84,8,2.59
539,Sayyan,YE,48.01,15.17,44.32,43,0,3.27
540,Muriti,TZ,73.4,-1.99,32.93,83,20,3.04
541,Ruwi,OM,84.2,23.6,58.55,66,0,2.24
542,Petrolina,BR,91.4,-9.38,-40.5,29,20,8.05
543,Egvekinot,RU,40.63,66.32,-179.17,98,92,6.4
545,Constitucion,MX,77,23.99,-104.67,29,20,2.24
546,Kologriv,RU,29.29,58.83,44.31,91,12,6.29
547,Hasaki,JP,66.2,35.73,140.83,100,75,4.7
549,Moyale,ET,67.18,3.52,39.05,83,48,3.27
550,Scottsboro,US,87.93,34.67,-86.03,55,1,3.36
551,Rupert,US,57.9,42.62,-113.68,35,1,10.29
553,Caranavi,BO,67.54,-15.83,-67.57,84,88,0.36
554,Acapulco,MX,87.8,16.86,-99.88,70,75,5.82
555,Inuvik,CA,29.16,68.36,-133.71,63,75,5.82
556,Litovko,RU,37.03,49.24,135.18,87,0,1.7
558,Sibu,MY,73.4,2.29,111.83,100,75,3.15
559,Ende,ID,78.25,-8.84,121.65,100,0,3.94
560,Baherden,TM,62.32,38.44,57.43,87,64,5.39
561,Varkkallai,IN,80.6,8.73,76.71,83,75,4.27
562,Puerto Varas,CL,60.8,-41.32,-72.98,59,0,8.05
563,Knysna,ZA,53.6,-34.04,23.05,100,90,3.36
564,Altayskoye,RU,33.16,51.95,85.34,70,0,3.15
565,Sinop,TR,63.76,42.03,35.15,100,80,12.55
566,Sao Joao da Barra,BR,68,-21.64,-41.05,94,90,18.34
567,Orbetello,IT,60.8,42.44,11.21,100,40,5.82
568,Preobrazheniye,RU,43.15,42.9,133.91,81,92,2.15
569,Yueyang,CN,49.72,29.36,113.12,87,0,2.59
570,Fukue,JP,74.01,35.03,136.69,88,40,27.51
571,Kamennogorsk,RU,39.2,60.95,29.13,93,0,5.82
572,Chunhuhub,MX,78.7,19.59,-88.59,99,24,3.15
573,Porto Belo,BR,65.21,-27.15,-48.54,68,40,10.29
574,Tygda,RU,48.73,53.11,126.33,69,88,4.61
575,Nouakchott,MR,83.83,18.08,-15.98,88,12,18.25
576,Palmer,AU,51.8,-34.85,139.16,81,0,4.7
577,Snasa,NO,37.93,64.25,12.38,100,92,10.31
578,Darab,IR,50.89,28.75,54.55,75,24,1.36
579,Chihuahua,MX,89.6,28.66,-106.08,31,40,5.82
580,Garowe,SO,73.93,8.41,48.48,77,0,9.31
581,Homer,US,54.12,59.64,-151.54,77,20,3.36
582,Maningrida,AU,74.38,-12.05,134.23,83,0,5.28
583,Bordighera,IT,67.84,43.79,7.66,53,75,1.12
584,Kysyl-Syr,RU,29.83,63.9,122.77,93,80,3.49
585,Ostrovnoy,RU,32.89,68.05,39.51,96,92,16.24
586,Naron,ES,55.4,43.52,-8.15,87,20,5.82
587,Chegdomyn,RU,36.22,51.13,133.04,84,0,2.93
588,Naze,NG,71.41,5.43,7.07,97,44,3.15
589,Kaoma,ZM,74.02,-14.8,24.8,26,8,12.66
591,Banda Aceh,ID,73.3,5.56,95.32,100,92,1.14
592,Doha,QA,89.6,25.29,51.53,59,0,4.7
593,Pangani,KE,77.53,-2.37,40.57,92,92,14.12
594,Tarpon Springs,US,90.3,28.15,-82.76,49,1,4.7
595,Mangan,IN,28.48,27.5,88.54,83,0,1.7
596,Todos Santos,MX,89.56,23.45,-110.23,49,5,12.75
598,Lodja,CD,72.4,-3.52,23.6,95,76,2.26
599,Kaura Namoda,NG,75.46,12.59,6.58,78,20,2.82
600,West Bay,GB,54.25,50.71,-2.76,93,20,4.94
601,Marshfield,US,57.11,42.09,-70.71,62,1,9.17
602,Yumen,CN,26.95,40.29,97.04,66,0,6.62
603,Ayame,CI,76.54,5.61,-3.16,93,64,6.51
604,Hengyang,CN,53.14,26.89,112.6,80,0,2.71
605,Vila Franca do Campo,PT,68,37.72,-25.43,72,75,13.87
606,Bougouni,ML,75.28,11.42,-7.49,87,48,2.04
607,Samarai,PG,76.36,-10.62,150.67,100,0,8.41
608,Sawakin,SD,77.71,19.1,37.33,100,88,3.49
609,Iturama,BR,89.32,-19.73,-50.2,44,0,8.41
